0.34,6273,
0.57,7971,
0.79,12606,
1.00,12673,
1.10,13395,
1.40,14869,
1.49,14904,
1.62,14946,
1.74,14955,
1.86,14957,
1.97,15253,
2.07,15292,
2.17,15294,
2.28,15896,
2.40,15910,
2.48,15947,
2.61,15951,
2.69,16043,
2.87,16147,
2.98,16150,
3.09,16221,
3.17,16221,
3.25,16221,
3.33,16233,
3.42,16326,
3.50,16326,
3.61,16341,
3.72,16449,
3.80,16449,
3.90,16638,
4.00,16649,
4.08,16653,
4.16,16654,
4.25,16667,
4.34,16840,
4.43,16876,
4.52,16877,
4.60,16877,
4.68,16877,
4.78,16891,
4.91,16891,
5.01,16892,
5.09,16893,
5.17,16893,
5.28,16898,
5.38,16924,
5.47,16927,
5.61,16941,
5.71,17095,
5.79,17253,
5.90,17388,
6.98,17426,
7.09,17900,
7.19,18271,
7.27,18271,
7.35,18401,
7.46,18650,
7.55,18651,
7.64,18656,
7.74,18678,
7.82,18678,
7.89,18680,
8.03,18761,
8.14,18770,
8.22,18770,
8.30,18770,
8.41,18770,
8.53,18772,
8.64,18772,
8.73,18827,
8.82,18827,
8.93,18831,
9.07,18940,
9.18,18948,
9.27,18950,
9.35,18950,
9.44,19001,
9.57,19020,
9.67,19021,
9.76,19021,
9.90,19231,
9.99,19231,
10.09,19284,
10.19,19284,
10.30,19311,
10.40,19328,
10.52,19328,
10.62,19439,
10.70,19439,
10.79,19439,
10.87,19448,
10.95,19448,
11.05,19448,
11.16,19448,
11.26,19448,
11.37,19449,
11.45,19461,
11.58,19481,
11.66,19481,
11.77,19481,
11.89,19481,
11.97,19481,
12.06,19511,
12.14,19511,
12.24,19511,
12.32,19511,
12.44,19511,
12.52,19511,
12.60,19511,
12.69,19511,
12.79,19512,
12.88,19513,
12.98,19513,
13.05,19513,
13.16,19513,
13.27,19513,
13.35,19552,
13.47,19559,
13.63,19573,
13.73,19573,
13.85,19574,
13.93,19596,
14.02,19620,
14.15,19660,
14.27,19660,
14.42,19681,
14.52,19681,
14.62,19683,
14.72,19687,
14.81,19687,
