0,0
1286.63,13971,
1290.89,13971,
1293.93,13971,
1296.85,13971,
1299.78,13971,
1302.76,13971,
1306.60,13971,
1309.54,13971,
1312.52,13971,
1315.53,13971,
1319.23,13971,
1322.18,13971,
1326.01,13971,
1329.00,13971,
1331.92,13971,
1335.70,13971,
1339.50,13971,
1343.31,13971,
1346.33,13971,
1349.33,13971,
1352.37,13971,
1355.32,13971,
1359.56,13971,
1362.54,13971,
1365.49,13971,
1368.51,13971,
1371.50,13971,
1374.48,13971,
1378.71,13971,
1381.74,13971,
1384.67,13971,
1387.58,13971,
1391.26,13971,
1394.24,13971,
1397.19,13971,
1400.14,13971,
1403.20,13971,
1406.18,13971,
1409.10,13971,
1412.98,13971,
1417.38,13971,
1421.23,13971,
1424.19,13971,
1428.05,13971,
1432.11,13971,
1436.26,13971,
1439.21,13971,
1442.92,13971,
1447.29,13971,
1451.02,13971,
1453.99,13971,
1457.69,13971,
1460.71,13971,
1463.65,13971,
1467.97,13971,
1472.07,13971,
1475.83,13971,
1478.80,13971,
1481.69,13971,
1484.74,13971,
1487.67,13971,
1491.46,13971,
1494.44,13971,
1497.39,13971,
1501.22,13971,
1505.10,13971,
1509.03,13971,
1513.40,13971,
1516.47,13971,
1519.39,13971,
1522.35,13971,
1525.29,13971,
1529.09,13971,
1533.10,13971,
1536.06,13971,
1539.88,13971,
1542.85,13971,
1546.83,13971,
1549.83,13971,
1552.75,13971,
1555.69,13971,
1558.77,13971,
1561.73,13971,
1564.79,13971,
1568.72,13971,
1571.70,13971,
1574.72,13971,
1578.60,13971,
1581.60,13971,
1585.32,13971,
1588.30,13971,
1591.24,13971,
1595.05,13971,
1598.98,13971,
1601.98,13971,
1605.64,13971,
1608.68,13971,
1613.10,13971,
1616.92,13971,
1620.64,13971,
1624.47,13971,
1628.21,13971,
1632.14,13971,
1635.06,13971,
1638.98,13971,
1643.13,13971,
1646.16,13971,
1650.15,13971,
1653.18,13971,
1657.01,13971,
1660.90,13971,
1663.91,13971,
1667.85,13971,
1671.62,13971,
1674.56,13971,
1677.64,13971,
1681.38,13971,
1685.31,13971,
1688.38,13971,
1692.12,13971,
1695.10,13971,
1699.01,13971,
1701.97,13971,
1705.91,13971,
1708.89,13971,
1711.80,13971,
1715.75,13971,
1719.72,13971,
1722.80,13971,
1726.65,13971,
1729.66,13971,
1732.63,13971,
1735.62,13971,
1739.32,13971,
1743.21,13971,
1746.96,13971,
1750.08,13971,
1754.48,13971,
1757.59,13971,
1760.60,13971,
1764.24,13971,
1767.18,13971,
1771.05,13971,
1774.07,13971,
1777.02,13971,
1780.06,13971,
1783.13,13971,
1786.97,13971,
1790.74,13971,
1793.69,13971,
1796.76,13971,
1800.65,13971,
1803.69,13971,
1813.90,14218,
1853.00,14218,
1872.29,14218,
1913.75,14218,
1933.02,14218,
1952.15,14218,
1971.11,14218,
1990.57,14218,
2029.98,14218,
2049.29,14219,
2069.34,14219,
2108.69,14219,
2127.84,14219,
2148.04,14219,
2167.07,14219,
2207.37,14219,
2226.61,14219,
2265.41,14219,
2304.47,14219,
2344.10,14219,
2364.50,14219,
2384.67,14219,
2404.70,14219,
2423.80,14219,
2465.36,14219,
2505.34,14219,
2544.34,14219,
2583.32,14219,
2622.46,14219,
2642.79,14219,
2681.56,14219,
2723.87,14219,
2743.01,14219,
2785.12,14219,
2804.46,14219,
2824.73,14219,
2866.23,14219,
2906.79,14219,
2926.76,14219,
2946.95,14219,
2965.98,14219,
2985.01,14219,
3004.18,14219,
3023.72,14219,
3063.49,14219,
3082.69,14219,
3101.70,14219,
3140.51,14219,
3180.58,14219,
3199.81,14219,
3219.91,14219,
3258.75,14219,
3298.35,14219,
3339.26,14219,
3358.76,14219,
3378.14,14219,
3398.19,14219,
3417.58,14219,
3457.35,14219,
3496.99,14219,
3539.29,14219,
3559.73,14219,
3579.22,14219,
3618.77,14219,
3621.42,14236,
3623.29,14268,
3625.15,14268,
3628.79,14268,
3630.83,14268,
3632.65,14269,
3634.68,14269,
3636.56,14269,
3638.60,14269,
3640.43,14269,
3642.30,14269,
3644.14,14269,
3646.01,14269,
3648.03,14269,
3649.88,14269,
3652.03,14269,
3653.92,14269,
3655.97,14269,
3659.65,14269,
3661.48,14269,
3663.35,14269,
3666.99,14269,
3668.82,14269,
3670.64,14269,
3672.67,14269,
3674.51,14269,
3676.33,14269,
3678.17,14269,
3680.02,14269,
3681.85,14269,
3683.68,14269,
3685.53,14269,
3687.69,14269,
3689.85,14269,
3691.71,14269,
3693.57,14269,
3695.71,14269,
3697.73,14269,
3699.59,14269,
3701.41,14269,
3703.27,14269,
3705.41,14269,
3707.47,14269,
3709.57,14269,
3711.61,14269,
3713.76,14269,
3715.62,14269,
3717.45,14269,
3719.49,14269,
3723.34,14269,
3725.18,14269,
3727.03,14269,
3729.02,14269,
3730.86,14269,
3732.70,14269,
3734.55,14269,
3736.40,14269,
3738.28,14269,
3740.15,14269,
3742.26,14269,
3744.31,14269,
3746.18,14269,
3750.07,14269,
3752.12,14269,
3753.99,14269,
3755.81,14269,
3757.83,14269,
3759.67,14269,
3761.52,14269,
3763.35,14269,
3765.33,14269,
3767.21,14269,
3769.05,14269,
3771.14,14269,
3773.00,14269,
3774.85,14269,
3776.71,14269,
3778.55,14269,
3780.61,14269,
3782.44,14269,
3784.26,14269,
3786.06,14269,
3789.72,14269,
3791.56,14269,
3793.39,14269,
3795.43,14269,
3797.30,14269,
3799.08,14269,
3800.89,14269,
3802.74,14269,
3804.57,14269,
3806.44,14269,
3808.25,14269,
3810.09,14269,
3811.93,14269,
3813.78,14269,
3815.93,14269,
3817.76,14269,
3819.60,14269,
3821.43,14269,
3823.29,14269,
3826.93,14269,
3828.76,14269,
3830.78,14269,
3832.84,14269,
3834.88,14269,
3836.91,14269,
3840.56,14269,
3842.42,14269,
3846.05,14269,
3848.11,14269,
3849.99,14269,
3851.81,14269,
3853.91,14269,
3855.76,14269,
3857.58,14269,
3859.76,14269,
3863.41,14269,
3865.24,14269,
3867.27,14269,
3869.30,14269,
3871.14,14269,
3873.20,14269,
3875.06,14269,
3876.88,14269,
3878.72,14269,
3880.56,14269,
3882.42,14269,
3884.54,14269,
3886.62,14269,
3888.49,14269,
3890.32,14269,
3892.17,14269,
3894.01,14269,
3895.87,14269,
3897.68,14269,
3899.53,14269,
3901.59,14269,
3903.45,14269,
3905.31,14269,
3907.16,14269,
3909.27,14269,
3911.12,14269,
3913.08,14269,
3915.11,14269,
3917.17,14269,
3919.01,14269,
3920.82,14269,
3922.65,14269,
3924.47,14269,
3926.46,14269,
3930.14,14269,
3932.13,14269,
3933.95,14269,
3935.79,14269,
3937.66,14269,
3939.83,14269,
3941.67,14269,
3943.48,14269,
3945.59,14269,
3947.61,14269,
3949.48,14269,
3951.35,14269,
3953.16,14269,
3955.19,14269,
3957.21,14269,
3959.06,14269,
3960.87,14269,
3964.51,14269,
3966.33,14269,
3968.20,14269,
3969.98,14269,
3972.17,14269,
3974.02,14269,
3975.85,14269,
3977.69,14269,
3979.51,14269,
3981.35,14269,
3983.21,14269,
3985.02,14269,
3986.85,14269,
3988.94,14269,
3990.94,14269,
3992.77,14269,
3994.78,14269,
3996.62,14269,
3998.47,14269,
4000.31,14269,
4002.14,14269,
4003.96,14269,
4005.94,14269,
4007.96,14269,
4011.84,14269,
4013.67,14269,
4015.78,14269,
4017.64,14269,
4019.48,14269,
4021.31,14269,
4023.15,14269,
4024.96,14269,
4026.78,14269,
4028.61,14269,
4030.62,14269,
4032.45,14269,
4034.28,14269,
4036.12,14269,
4037.98,14269,
4039.84,14269,
4041.88,14269,
4043.71,14269,
4045.59,14269,
4047.66,14269,
4051.58,14269,
4053.59,14269,
4055.59,14269,
4057.41,14269,
4059.28,14269,
4061.30,14269,
4063.11,14269,
4065.30,14269,
4067.18,14269,
4069.18,14269,
4071.01,14269,
4073.16,14269,
4075.00,14269,
4077.03,14269,
4079.06,14269,
4080.94,14269,
4082.81,14269,
4084.65,14269,
4086.47,14269,
4090.28,14269,
4092.12,14269,
4094.21,14269,
4096.09,14269,
4098.09,14269,
4099.94,14269,
4101.78,14269,
4103.56,14269,
4105.42,14269,
4109.09,14269,
4112.91,14269,
4114.77,14269,
4116.60,14269,
4122.02,14269,
4123.84,14269,
4125.99,14269,
4127.83,14269,
4129.69,14269,
4131.85,14269,
4133.89,14269,
4137.59,14269,
4139.45,14269,
4141.49,14269,
4143.35,14269,
4147.00,14269,
4149.08,14269,
4150.93,14269,
4152.79,14269,
4154.63,14269,
4156.50,14269,
4158.37,14269,
4160.18,14269,
4162.23,14269,
4164.21,14269,
4166.04,14269,
4167.87,14269,
4169.71,14269,
4171.55,14269,
4175.23,14269,
4177.07,14269,
4179.06,14269,
4180.90,14269,
4182.75,14269,
4184.75,14269,
4186.60,14269,
4188.48,14269,
4190.31,14269,
4192.19,14269,
4194.02,14269,
4197.87,14269,
4199.98,14269,
4201.87,14269,
4204.03,14269,
4205.88,14269,
4207.72,14269,
4209.59,14269,
4211.46,14269,
4213.29,14269,
4215.12,14269,
4218.77,14269,
4220.62,14269,
4222.51,14269,
4224.32,14269,
4226.18,14269,
4229.83,14269,
4231.65,14269,
4233.47,14269,
4235.30,14269,
4237.30,14269,
4239.14,14269,
4242.79,14269,
4244.93,14269,
4248.74,14269,
4250.58,14269,
4252.62,14269,
4256.27,14269,
4258.29,14269,
4260.14,14269,
4262.01,14269,
4263.90,14269,
4265.94,14269,
4267.94,14269,
4269.83,14269,
4271.69,14269,
4273.54,14269,
4275.37,14269,
4277.48,14269,
4281.28,14269,
4283.40,14269,
4285.56,14269,
4287.61,14269,
4289.48,14269,
4291.34,14269,
4295.32,14269,
4297.29,14269,
4299.16,14269,
4301.01,14269,
4302.84,14269,
4304.92,14269,
4306.74,14269,
4308.57,14269,
4310.62,14269,
4312.48,14269,
4314.37,14269,
4316.22,14269,
4318.09,14269,
4319.92,14269,
4321.76,14269,
4323.58,14269,
4325.43,14269,
4327.42,14269,
4329.29,14269,
4331.12,14269,
4333.13,14269,
4335.18,14269,
4337.02,14269,
4339.05,14269,
4341.06,14269,
4342.92,14269,
4344.99,14269,
4346.83,14269,
4348.67,14269,
4350.70,14269,
4352.54,14269,
4354.38,14269,
4356.51,14269,
4358.35,14269,
4360.41,14269,
4362.25,14269,
4364.04,14269,
4365.87,14269,
4367.97,14269,
4371.62,14269,
4373.47,14269,
4375.56,14269,
4377.41,14269,
4379.26,14269,
4381.09,14269,
4382.89,14269,
4384.90,14269,
4386.99,14269,
4388.81,14269,
4390.69,14269,
4392.67,14269,
4394.49,14269,
4396.29,14269,
4398.13,14269,
4399.96,14269,
4401.81,14269,
4403.86,14269,
